번호	의료기관명	의사이름	진료시간1	진료시간2	진료시간3	진료시간4	진료시간5	진료시간6	진료시간7	진료시간8	진료시간9	진료시간10	진료시간11	진료시간12	진료시간13	진료시간14
1	365엠씨(mc)병원	심곤탐	900	1000	1100	1200	1300	1400	1500	1600	1700					
2	9988병원	설누람	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
3	가자연세병원	송래자	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
4	강남고려병원	우잔일	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
5	강남더드림병원	노균식	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
6	강남베드로병원	마장노	900	1000	1100	1200	1300	1400	1500	1600	1700					
7	강남수병원	은개대	900	1000	1100	1200	1300	1400	1500	1600	1700					
8	강남와이케이병원	정별길	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
9	강남유나이티드병원	탁별면	900	1000	1100	1200	1300	1400	1500	1600	1700					
10	강남을지대학교병원	나롱도	900	1000	1100	1200	1300	1400	1500	1600	1700					
11	강남제이에스병원	국전울	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
12	강남지인병원	윤솜환	900	1000	1100	1200	1300	1400	1500	1600	1700					
13	강남초이스병원	권롱두	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
14	강남초이스정형외과병원	표고달	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
15	강남힐병원	왕영비	900	1000	1100	1200	1300	1400	1500	1600	1700					
16	강남힘찬병원	엄석문	900	1000	1100	1200	1300	1400	1500	1600	1700					
17	강동미즈여성병원	모울나	900	1000	1100	1200	1300	1400	1500	1600	1700					
18	강동연세병원	곽택하	900	1000	1100	1200	1300	1400	1500	1600	1700					
19	강북21세기병원	전누악	900	1000	1100	1200	1300	1400	1500	1600	1700					
20	강북연세병원	왕분걸	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
21	강북우리들병원	진은온	900	1000	1100	1200	1300	1400	1500	1600	1700					
22	강북으뜸병원	석걸타	900	1000	1100	1200	1300	1400	1500	1600	1700					
23	강서송도병원	방반덕	900	1000	1100	1200	1300	1400	1500	1600	1700					
24	강서힘찬병원	정완학	900	1000	1100	1200	1300	1400	1500	1600	1700					
